Book,Chapter,Verse,Mistake,Correction,Reason
EXO,7,9,. Як,Як,Extra dot
2CH,3,13,К рила,Крила,Separated letter
2CH,7,5,дім  царь,дім царь,Extra space
2CH,7,5,дім царь,дім Божій царь,Missing word
2CH,7,6,Господа -,Господа —,Wrong dash
2CH,7,6,"— ,","—,",Extra space
2CH,7,6,ними -,ними —,Wrong dash
2CH,7,6,"— ,","—,",Extra space
PSA,9,1,С лавити,Славити,Separated letter
PSA,12,1,С паси,Спаси,Separated letter
PSA,13,1,Д оки,Доки,Separated letter
PSA,16,1,Х рань,Хрань,Separated letter
PSA,17,1,В ислухай,Вислухай,Separated letter
PSA,18,1,Л юблю,Люблю,Separated letter
PSA,21,1,С илою,Силою,Separated letter
PSA,25,1,Д о,До,Separated letter
PSA,26,1,С уди,Суди,Separated letter
PSA,28,1,Д о,До,Separated letter
PSA,29,1,В оздайте,Воздайте,Separated letter
PSA,30,1,В ознесу,Вознесу,Separated letter
PSA,33,1,Р адуйтесь,Радуйтесь,Separated letter
PSA,36,1,П ереступ,Переступ,Separated letter
PSA,39,1,С казав,Сказав,Separated letter
PSA,40,1,Т ерпеливо,Терпеливо,Separated letter
PSA,41,1,Щ асливий,Щасливий,Separated letter
PSA,42,1,Я к,Як,Separated letter
PSA,43,1,С уди,Суди,Separated letter
PSA,45,1,І з,Із,Separated letter
PSA,47,1,В и,Ви,Separated letter
PSA,48,1,В еликий,Великий,Separated letter
PSA,49,1,С лухайте,Слухайте,Separated letter
PSA,50,1,В семогущий,Всемогущий,Separated letter
PSA,51,1,П омилуй,Помилуй,Separated letter
PSA,52,1,Ч ого,Чого,Separated letter
PSA,55,1,В ислухай,Вислухай,Separated letter
PSA,56,1,П омилуй,Помилуй,Separated letter
PSA,57,1,П омилуй,Помилуй,Separated letter
PSA,58,1,Ч и,Чи,Separated letter
PSA,59,1,В изволь,Визволь,Separated letter
PSA,62,1,Т ілько,Тілько,Separated letter
REV,22,20,хутко!  Амінь,хутко! Амінь,Extra space
REV,22,20,Амінь.  О,Амінь. О,Extra space
