Book,Chapter,Verse,Content
GEN,4,16,"ʼд"
GEN,10,29,"ʼці"
GEN,11,3,"ʼдному:"
GEN,11,7,"ʼдного."
GEN,17,21,"ʼцїй"
GEN,24,28,"зʼясувала"
GEN,28,15,"ʼцю"
GEN,28,20,"ʼце"
GEN,41,24,"зʼясувати."
EXO,10,23,"ʼдного,"
EXO,32,13,"ʼцю"
EXO,36,6,"зʼясували"
LEV,7,20,"зʼїла"
LEV,8,31,"зʼїжте"
LEV,14,44,"вʼїдлива"
LEV,17,14,"зʼїсть"
LEV,19,5,"зʼєднати"
LEV,22,14,"зʼість"
LEV,22,30,"зʼїсти"
LEV,25,25,"зʼубожіє"
LEV,25,39,"зʼубожіє"
LEV,25,47,"зʼубожіє"
LEV,26,32,"зʼжахнуться,"
NUM,11,33,"зʼїли"
NUM,14,44,"зʼосьмілились"
NUM,30,14,"зʼобовязання"
DEU,4,22,"ʼцїй"
DEU,13,1,"зʼявиться"
DEU,22,5,"зʼодягається"
DEU,28,2,"ʼцї"
DEU,28,15,"ʼцї"
DEU,28,42,"позʼїдає."
DEU,28,45,"ʼцї"
DEU,28,57,"зʼїсть"
DEU,29,20,"ʼцїй"
DEU,29,27,"ʼсїй"
JOS,2,18,"вʼцю"
JOS,2,20,"ʼцїй"
JOS,3,4,"ʼцїй"
JOS,15,5,"вʼустя"
JOS,16,1,"ʼд"
JOS,18,12,"ʼд"
JDG,2,1,"зʼявивсь"
JDG,5,11,"ʼд"
JDG,9,47,"Зʼясовано"
JDG,13,11,"ʼд"
JDG,13,20,"ʼд"
JDG,18,2,"зʼугадних"
JDG,18,17,"вʼоруженими,"
JDG,19,9,"ʼд"
JDG,20,17,"вʼоружених"
JDG,20,25,"вʼоружених"
JDG,20,35,"вʼоружених"
JDG,20,45,"ʼд"
JDG,21,11,"зʼорудуйте:"
RUT,2,15,"зʼобижайте"
1SA,6,9,"ʼд"
1SA,10,8,"зʼясую"
1SA,11,5,"зʼясували"
1SA,12,4,"зʼобиджав"
1SA,14,9,"зʼупинїмось"
1SA,17,48,"ʼк"
1SA,18,11,"Давидаʼд"
1SA,19,7,"ʼцю"
1SA,22,8,"зʼясував"
1SA,24,2,"зʼясовано"
1SA,25,26,"зʼупинив"
1SA,26,8,"ʼд"
1SA,28,2,"зʼуміє"
1SA,28,10,"ʼцїй"
1SA,30,12,"зʼїсти,"
1SA,30,15,"ʼцю"
1SA,30,24,"ʼцїй"
2SA,11,18,"зʼясував"
2SA,11,22,"зʼясував"
2SA,13,6,"іззʼїсти!"
2SA,13,34,"зʼясував"
2SA,18,11,"ʼд"
2SA,19,42,"зʼїли"
1KI,2,29,"зʼясовано"
1KI,2,41,"зʼясовано"
1KI,8,22,"ʼд"
1KI,8,27,"ʼбіймуть,"
1KI,13,4,"ʼд"
1KI,13,6,"ʼд"
1KI,16,21,"ʼд"
1KI,21,12,"Зʼясували"
1KI,22,27,"зʼясїть:"
2KI,3,7,"зʼясити:"
2KI,4,31,"зʼясував:"
2KI,5,18,"ʼк"
2KI,6,28,"зʼїли"
2KI,6,28,"зʼїмо"
2KI,6,29,"зʼїсти,"
2KI,7,9,"зʼясуймо"
2KI,10,3,"зʼугадлившого,"
1CH,4,42,"ʼд"
1CH,5,18,"зʼучені"
1CH,11,15,"ʼд"
2CH,3,14,"зʼобразив"
2CH,4,4,"ʼд"
2CH,4,4,"ʼд"
2CH,6,38,"ʼд"
2CH,6,41,"зʼодягнуться"
2CH,7,12,"зʼявився"
2CH,14,5,"зʼображеня"
2CH,20,24,"ʼк"
2CH,28,15,"зʼодягли"
2CH,29,16,"ʼд"
NEH,4,21,"зʼявлялись"
JOB,9,3,"зʼумів"
JOB,9,4,"зʼупокоєн?"
JOB,10,11,"зʼодяг"
JOB,12,7,"зʼясує"
JOB,18,13,"Зʼїсть"
JOB,18,13,"зʼїсть"
JOB,19,6,"ʼд"
JOB,30,13,"зʼуміли"
JOB,30,23,"ʼд"
JOB,31,17,"зʼїдав"
JOB,32,16,"зʼупинились"
JOB,33,22,"ʼд"
JOB,37,4,"зʼупиняє"
JOB,38,35,"ʼд"
JOB,40,4,"зʼумієш"
JOB,42,2,"зʼупинити."
PSA,94,20,"зʼєднатись"
PSA,106,40,"зʼогидїло"
PSA,141,7,"зʼорана"
PRO,4,9,"зʼукрасить"
PRO,21,24,"безʼумом"
PRO,23,8,"зʼїв,"
PRO,23,21,"зʼубожіють,"
PRO,27,16,"зʼупинити"
ECC,1,6,"ʼд"
ECC,2,12,"безʼум;"
ECC,11,3,"ʼк"
ECC,11,3,"ʼк"
SNG,1,3,"ʼд"
SNG,1,6,"Зʼясуй"
SNG,3,8,"зʼучені"
SNG,5,1,"зʼїв"
SNG,6,12,"ʼд"
SNG,7,5,"ʼд"
ISA,5,24,"зʼїдає"
ISA,8,4,"зʼуміє"
ISA,8,9,"Вʼоружуйтесь,"
ISA,9,2,"зʼуздрить"
ISA,14,6,"безʼупинними,"
ISA,15,5,"ʼд"
ISA,28,4,"зʼїдає."
ISA,29,9,"Зʼумійтесь"
ISA,29,20,"зʼобижали,"
ISA,40,28,"безʼутомний"
ISA,43,7,"зʼобразував"
ISA,44,2,"зʼобразовав,"
ISA,44,19,"зʼїв"
ISA,44,27,"зʼсякни,"
ISA,50,9,"зʼїдена"
ISA,51,8,"зʼїдять"
ISA,54,11,"безʼодрадна!"
ISA,57,18,"безʼутїшних"
ISA,59,10,"безʼокі,"
ISA,59,13,"зʼолгали,"
ISA,61,10,"зʼодягнув"
JER,2,7,"зʼогидили"
JER,4,6,"ʼд"
JER,4,30,"зʼукрашуй"
JER,5,17,"зʼїдять"
JER,6,16,"Зʼупинїтесь"
JER,9,5,"зʼучили"
JER,9,12,"зʼясував"
JER,10,25,"зʼїли"
JER,11,6,"Зʼясуй"
JER,13,7,"зʼогнив"
JER,15,16,"зʼїв"
JER,16,18,"зʼогидили"
JER,20,9,"зʼупинити"
JER,23,22,"зʼупиняли"
JER,31,40,"ʼд"
JER,36,18,"ʼцї"
JER,36,24,"ʼцї"
JER,37,13,"зʼупинив"
JER,41,17,"зʼупинились"
JER,42,4,"зʼясую"
JER,46,5,"ізʼусюди"
JER,49,17,"зʼуміється"
JER,50,17,"обʼїдав"
JER,50,36,"обезʼуміють;"
JER,50,38,"побезʼуміють"
LAM,2,10,"ʼд"
LAM,2,20,"зʼїдали"
EZK,1,24,"зʼупинялись,"
EZK,1,25,"зʼупинялись"
EZK,2,8,"зʼїж,"
EZK,3,1,"зʼїж,"
EZK,3,1,"зʼїж"
EZK,3,2,"зʼїсти"
EZK,3,3,"зʼїв,"
EZK,8,14,"ʼд"
EZK,10,17,"зʼупинялись,"
EZK,10,17,"зʼупинялись;"
EZK,10,19,"зʼупинились"
EZK,11,23,"зʼупинилась"
EZK,16,18,"зʼодягала"
EZK,17,6,"ʼд"
EZK,20,1,"зʼявились"
EZK,20,22,"зʼупинив"
EZK,20,46,"кʼ"
EZK,23,12,"зʼодягнених,"
EZK,31,15,"зʼодягну"
EZK,34,3,"зʼодягались"
EZK,37,1,"зʼупинив"
EZK,37,16,"зʼєднаним"
EZK,37,16,"зʼєднаного"
EZK,37,18,"зʼясуєш"
EZK,37,19,"зʼєдинених"
EZK,37,22,"зʼєдиню"
EZK,38,7,"Увʼоружуйсь"
EZK,39,11,"зʼупинятись"
EZK,42,1,"ʼд"
EZK,42,19,"ʼд"
EZK,43,1,"ʼд"
EZK,45,15,"ʼце"
EZK,48,10,"ʼд"
EZK,48,10,"ʼд"
DAN,1,13,"зʼявляться"
DAN,2,9,"зʼумієте"
DAN,6,20,"ʼд"
DAN,8,9,"ʼк"
DAN,8,9,"ʼк"
DAN,11,22,"зʼєднався."
DAN,11,23,"зʼєднається,"
HOS,8,7,"зʼїдять,"
HOS,8,8,"Зʼїдять"
HOS,10,12,"розʼорюйте"
HOS,12,3,"зʼупиняв"
JOL,2,28,"зʼіллю"
JOL,3,12,"звідʼусюди!"
AMO,7,5,"зʼупини!"
MIC,1,11,"зʼупинитись"
MIC,3,12,"розʼораний,"
MIC,7,1,"зʼїсти,"
HAB,3,11,"зʼупинились"
ZEC,9,14,"зʼявиться"
ZEC,11,9,"зʼїдав."
ZEC,14,3,"вʼоружиться"
ZEC,14,3,"вʼоружувавсь"
ZEC,14,4,"ʼд"
ZEC,14,4,"ʼд"
MAT,6,30,"зʼодягає"
MAT,6,30,"зʼодягати"
MAT,13,22,"безʼовочним."
MAT,17,9,"ізʼяву,"
MAT,19,14,"зʼупиняйте"
MAT,22,46,"зʼумів"
MAT,25,36,"зʼодягли"
MAT,25,38,"зʼодягли?"
MAT,25,43,"зʼодягли"
MRK,3,20,"зʼїсти."
MRK,6,45,"ʼд"
LUK,7,14,"зʼупинились."
LUK,8,24,"зʼпинились,"
LUK,9,43,"Зʼумляли"
LUK,11,21,"вʼоружившись,"
LUK,12,22,"зʼодягнетесь."
LUK,12,27,"зʼодягав"
LUK,12,28,"зʼодягає;"
LUK,15,13,"відʼїхав"
LUK,19,15,"зʼорудував."
JHN,2,17,"зʼїла"
JHN,21,25,"зʼосїбна,"
ACT,6,11,"підʼустили"
ACT,8,33,"зʼясує?"
ACT,8,38,"зʼупинити"
ACT,9,7,"зʼумівшись,"
ACT,12,23,"зʼїли"
ROM,3,25,"зʼясувати"
ROM,3,26,"зʼясувати"
ROM,6,5,"зʼєднані"
ROM,15,22,"зʼупинений"
1CO,1,10,"зʼєднані"
1CO,9,12,"зʼупинити"
1CO,14,14,"безʼовочне."
2CO,8,9,"зʼубожів,"
2CO,13,10,"безʼощадно"
GAL,4,19,"вʼобразить"
EPH,3,9,"зʼясувати"
EPH,4,13,"зʼєдинення"
COL,2,2,"зʼєднавшись"
2TI,1,6,"підʼогрівав"
PHM,1,1,"вʼязень"
PHM,1,9,"вʼязнем"
PHM,1,23,"співвʼязень"
JAS,5,3,"зʼїсть"
1PE,3,1,"зʼєднані,"
1PE,3,3,"зʼодяганнє"
