Book,Chapter,Verse,Content
GEN,4,23,", —"
GEN,8,11,"се —"
GEN,8,13,"се —"
GEN,22,16,"я —"
GEN,22,16,"слово —"
GEN,26,20,"Есек —"
GEN,26,21,"Ситна —"
GEN,26,22,"Рехобот —"
GEN,27,22,"Голос —"
GEN,27,22,"ж —"
GEN,41,18,"се —"
GEN,41,19,"се —"
GEN,41,26,"гарних —"
GEN,41,26,"доброго —"
GEN,48,14,", —"
GEN,48,14,"молодший —"
GEN,49,14,"Іссахар —"
GEN,49,19,"Гад —"
GEN,49,27,"вранцї —"
GEN,49,27,"вечір —"
GEN,50,18,"Се —"
EXO,15,3,"Господь —"
EXO,15,12,", —"
EXO,29,22,"литку —"
EXO,32,16,"письмо —"
LEV,18,29,", —"
NUM,7,9,", —"
NUM,9,20,": —"
DEU,3,19,"ваша —"
DEU,3,19,"скотини —"
DEU,11,2,", —"
DEU,11,2,", —"
DEU,16,3,"; —"
DEU,16,21,"ашерім —"
DEU,23,19,"твойму —"
DEU,28,67,"прийшов —"
DEU,32,42,"тїлом —"
DEU,33,16,"; —"
JOS,3,15,", —"
JOS,13,14,"Ізрайлевого —"
JOS,15,36,"Гедеротаім —"
JOS,15,41,"Македа —"
JOS,15,44,"Мареша —"
JOS,15,51,"Гило —"
JOS,15,54,"Цихор —"
JOS,15,57,"Тимна —"
JOS,15,59,"Елтекон —"
JOS,15,60,"Аравва —"
JOS,15,62,"Енгеди —"
JOS,17,5,"частин —"
JOS,18,28,"Кират —"
JOS,19,6,"Сарухен —"
JOS,19,7,"Ашан —"
JOS,19,15,"Бетлеєм —"
JOS,19,22,"Йорданї —"
JOS,19,38,"Бетсамис —"
JOS,21,10,", —"
JOS,21,10,"жереб —"
JOS,21,16,"його —"
JOS,21,18,", —"
JOS,21,24,"його —"
JOS,21,27,"її —"
JOS,21,29,"його —"
JOS,21,31,"його —"
JOS,21,32,"його —"
JOS,21,35,"його —"
JOS,21,37,"його —"
JOS,22,22,"Єгова —"
JOS,22,22,"Єгова —"
JDG,1,11,"Дабирських —"
JDG,1,23,"Бетель —"
JDG,1,23,"Лузом —"
JDG,2,6,"державу —"
JDG,3,9,", —"
JDG,5,27,"упав —"
JDG,5,30,"Сизарин —"
JDG,15,16,", —"
JDG,18,12,"Данів —"
JDG,20,27,"Господа —"
JDG,20,28,") —"
JDG,21,19,"Силомі —"
JDG,21,19,"Лебони —"
RUT,3,10,"! —"
1SA,3,18,"Він —"
1SA,6,4,"Филистійських —"
1SA,14,43,"меду —"
1SA,20,3,"часом —"
2SA,1,6,"дивлюсь —"
2SA,3,9,"так —"
2SA,5,7,", —"
2SA,7,26,"Саваот —"
2SA,10,5,"їх —"
2SA,10,5,", —"
2SA,12,7,"той —"
2SA,13,16,"мене —"
2SA,13,20,"сестро —"
2SA,18,3,"один —"
2SA,18,7,"тяжкий —"
2SA,18,10,"Абессалома —"
2SA,18,24,"бачить —"
2SA,18,26,"сторож —"
2SA,19,6,"тебе —"
2SA,22,2,"Господь —"
2SA,22,2,"захищає —"
2SA,22,12,"шату —"
2SA,22,35,"пліч —"
2SA,22,45,"Люди —"
2SA,23,32,"Яшена —"
2SA,24,17,"вівцї —"
1KI,1,36,"Аминь —"
1KI,2,17,"Соломона —"
1KI,2,17,"відмовить —"
1KI,2,28,"Йоаба —"
1KI,2,28,"прихилявся —"
1KI,2,37,"зараз —"
1KI,2,37,"се —"
1KI,2,42,"мусиш —"
1KI,2,42,"се —"
1KI,3,26,"цареві —"
1KI,4,9,"Бендекер —"
1KI,4,17,"Паруахенко —"
1KI,4,19,"Урієнко —"
1KI,6,1,", —"
1KI,6,1,"другий —"
1KI,6,38,"Бул —"
1KI,6,38,"восьмий —"
1KI,7,33,"їх —"
1KI,7,39,"підніжки —"
1KI,7,49,"сьвітильники —"
1KI,7,50,"храму —"
1KI,8,2,", —"
1KI,8,35,", —"
1KI,8,37,", —"
1KI,8,39,": —"
1KI,8,41,", —"
1KI,8,42,", —"
1KI,8,46,"тобі —"
1KI,8,46,", —"
1KI,8,65,", —"
1KI,9,11,", —"
1KI,11,14,", —"
1KI,11,15,", —"
1KI,11,16,", —"
1KI,11,23,"противника —"
1KI,11,26,"Зареди —"
1KI,11,26,"вдовиця —"
1KI,14,8,", —"
1KI,14,9,", —"
1KI,14,14,"Еробоамів —"
1KI,15,20,", —"
1KI,16,7,", —"
1KI,17,24,"твоїх —"
1KI,20,3,"твоє —"
1KI,20,3,"сини —"
1KI,20,19,", —"
1KI,20,23,"їх —"
1KI,20,40,". —"
1KI,21,18,"Самариї —"
1KI,21,18,", —"
1KI,22,8,"лихе —"
1KI,22,24,"то —"
1KI,22,39,", —"
2KI,1,16,", —"
2KI,1,17,"його —"
2KI,4,32,"мертве —"
2KI,4,42,"хлїба —"
2KI,7,7,"осли —"
2KI,10,14,"повбивали —"
2KI,10,29,", —"
2KI,17,36,", —"
2KI,18,4,", —"
2KI,18,4,"йому —"
2KI,18,21,", —"
2KI,19,12,", —"
2KI,19,33,", —"
2KI,20,17,", —"
2KI,21,12,"те —"
2KI,21,12,"Ізрайлїв —"
2KI,21,16,"гріха —"
2KI,22,14,", —"
2KI,22,14,"частї —"
2KI,22,16,", —"
2KI,22,19,", —"
2KI,23,8,"висоти —"
2KI,23,15,", —"
2KI,24,2,", —"
2KI,24,4,", —"
2KI,24,12,", —"
2KI,24,14,"військо —"
2KI,24,16,", —"
2KI,25,4,") —"
2KI,25,8,", —"
2KI,25,15,", —"
2KI,25,16,", —"
2KI,25,17,"вінця —"
2KI,25,30,"його —"
2KI,25,30,"харчове —"
1CH,2,3,", —"
1CH,2,13,"другий —"
1CH,2,13,"третій —"
1CH,2,14,"Четвертий —"
1CH,2,14,"пятий —"
1CH,2,15,"Шестий —"
1CH,2,17,"Амессин —"
1CH,2,23,", —"
1CH,2,42,", —"
1CH,2,42,", —"
1CH,2,49,"Халебова —"
1CH,2,54,"Менухотян —"
1CH,3,1,"другий —"
1CH,3,2,"Третий —"
1CH,3,2,"четвертий —"
1CH,3,3,"Пятий —"
1CH,3,8,"Елифелет —"
1CH,3,22,"Шафат —"
1CH,3,23,"Азрикам —"
1CH,3,24,"Анані —"
1CH,4,32,", —"
1CH,5,1,", —"
1CH,5,18,", —"
1CH,5,26,", —"
1CH,6,10,", —"
1CH,6,33,"Кагатових —"
1CH,6,39,", —"
1CH,6,44,", —"
1CH,6,60,"Беняминового —"
1CH,6,60,"родинах —"
1CH,6,70,"поколїння —"
1CH,6,72,"поколїння —"
1CH,6,74,"поколїння —"
1CH,6,76,"поколїння —"
1CH,6,77,"потомків —"
1CH,6,77,"поколїння —"
1CH,6,78,", —"
1CH,6,80,"поколїння —"
1CH,7,1,"Симрон —"
1CH,7,3,", —"
1CH,7,6,", —"
1CH,7,7,", —"
1CH,7,9,"спосібних —"
1CH,7,11,", —"
1CH,7,15,", —"
1CH,8,18,", —"
1CH,8,21,", —"
1CH,8,25,", —"
1CH,8,27,", —"
1CH,8,29,", —"
1CH,9,4,", —"
1CH,9,5,"Шилона —"
1CH,9,6,"Зари —"
1CH,9,7,"Беняминових —"
1CH,9,9,", —"
1CH,9,13,", —"
1CH,9,14,", —"
1CH,9,31,", —"
1CH,9,31,", —"
1CH,9,35,", —"
1CH,11,5,": —"
1CH,12,2,", —"
1CH,12,14,"Гадових —"
1CH,12,17,", —"
1CH,12,17,", —"
1CH,12,29,", —"
1CH,12,32,", —"
1CH,15,5,", —"
1CH,15,6,", —"
1CH,15,7,", —"
1CH,15,8,", —"
1CH,15,9,", —"
1CH,15,10,", —"
1CH,15,20,"Банея —"
1CH,15,21,"Азазія —"
1CH,16,4,", —"
1CH,16,5,"Асафа —"
1CH,16,38,", —"
1CH,16,38,"Хосу —"
1CH,16,40,"всепалення —"
1CH,17,9,"мій —"
1CH,17,13,", —"
1CH,17,21,"дїло —"
1CH,17,24,", —"
1CH,18,10,", —"
1CH,18,10,"Адраазером —"
1CH,18,12,"долинї —"
1CH,18,17,"сини —"
1CH,19,5,", —"
1CH,19,5,", —"
1CH,20,4,"Хушата —"
1CH,21,5,"Юдеїв —"
1CH,21,20,"побачив —"
1CH,21,20,"його —"
1CH,23,6,"Левіїних —"
1CH,23,31,", —"
1CH,24,4,"синів —"
1CH,24,28,"Махлїя —"
1CH,25,1,", —"
1CH,25,3,", —"
1CH,25,7,", —"
1CH,25,10,"Третій —"
1CH,25,10,"їх —"
1CH,25,11,"Четвертий —"
1CH,25,11,"їх —"
1CH,25,12,"їх —"
1CH,25,13,"їх —"
1CH,25,14,"їх —"
1CH,25,15,"їх —"
1CH,25,16,"їх —"
1CH,25,17,"їх —"
1CH,25,18,"їх —"
1CH,25,19,"їх —"
1CH,25,20,"їх —"
1CH,25,21,"їх —"
1CH,25,22,"їх —"
1CH,25,23,"їх —"
1CH,25,24,"їх —"
1CH,25,25,"їх —"
1CH,25,26,"їх —"
1CH,25,27,"їх —"
1CH,25,28,"їх —"
1CH,25,29,"їх —"
1CH,25,30,"їх —"
1CH,25,31,"їх —"
1CH,26,10,", —"
1CH,26,15,"Едомові —"
1CH,26,15,"його —"
1CH,26,16,"Хосї —"
1CH,26,21,"Герсоненка —"
1CH,26,25,"Елиезера —"
1CH,26,30,"відважні —"
1CH,26,30,"сїмсот —"
1CH,26,32,"здібні —"
1CH,26,32,"сїмсот —"
1CH,27,6,"Банея —"
1CH,27,16,"Симеона —"
1CH,27,17,"Аарона —"
1CH,27,18,"Юди —"
