Book,Chapter,Verse,Content
MAT,1,23,"Ось діва мати ме в утробі, і вродить сина, і дадуть йому імя Емануіл,"
MAT,1,23,"З нами Бог."
MAT,2,6,"І ти, Витлеєме, земле Юдина, нічим не гірша єси між князями Юдиними; бо з тебе прийде гетьман, що старшинувати ме над народом моїм Ізраїлем."
MAT,2,15,"Із Єгипту покликав я сина мого."
MAT,2,18,"Чути в Рамі голосіннє і плач і тяжке наріканнє: Рахиля плаче по дітях своїх, і не дає розважати себе, бо їх нема вже."
MAT,2,23,"Що звати меть ся Назореєм."
MAT,3,3,"Голос покликуючого в пустині: Приготовте дорогу Господню, правими робіть стежки Його."
MAT,3,17,"Се мій Син любий, що я вподобав Його."
MAT,4,4,"Не самим хлібом жити ме чоловік, а кожним словом, що виходить із уст Божих."
MAT,4,6,"Що накаже про Тебе ангелам своїм,"
MAT,4,6,"на руках понесуть Тебе, щоб не вдаривсь часом об камїнь ногою Твоєю."
MAT,4,7,"Не спокушуй Господа Бога твого."
MAT,4,10,"Господу Богу твоєму кланяти меш ся, і Йому одному служити меш."
MAT,4,15,"Земля Завулон і земля Нефталим, на морському шляху, за Йорданом, Галилея поганська;"
MAT,4,16,"люде сидячі в темряві побачили світло велике, й тим, що сидять у країні й тіні смертній, засяло світло."
MAT,5,5,"осягнуть землю."
MAT,5,21,"Не вбий,"
MAT,5,27,"Не чини перелюбу."
MAT,5,31,"Що хто розводить ся з жінкою своєю, нехай дасть їй розвідний лист."
MAT,5,33,"Не кленись криво, а сповняй перед Господом обітниці твої."
MAT,5,34,"престол Божий;"
MAT,5,35,"город великого царя;"
MAT,5,38,"Око за око, й зуб за зуб."
MAT,5,43,"Люби ближнього твого,"
MAT,7,23,"ійдіть від мене, ви, що чините беззаконнє."
MAT,8,17,"Узяв Він на себе недуги наші, й поніс болещі наші."
MAT,9,13,"Милости хочу, а не жертви."
MAT,10,35,"поставити чоловіка різно проти батька його, й дочку проти матери її, й невістку проти свекрухи її."
MAT,10,36,"будуть ворогами чоловікові домашні його."
MAT,11,5,"сліпі бачять,"
MAT,11,5,"вбогі проповідують благовістє."
