Book,Chapter,Verse,Content
GEN,16,14,"„Криницею"
GEN,16,14,"бачить.‟"
EXO,22,9,"„Ось"
EXO,22,9,"воно‟,"
EXO,34,5,"„Господь‟."
JOS,22,34,"„Ед‟,"
2SA,5,8,"„Сліпий"
2SA,5,8,"палату.‟"
2SA,6,8,"„Убиттє"
2SA,6,8,"Ози‟"
2SA,18,18,"„Рука"
2SA,18,18,"Абессаломова‟."
EZR,3,11,"„Хваліть‟"
EZR,3,11,"„Оповідайте"
EZR,3,11,"Ізраїля‟;"
EZR,4,17,"„Мир‟"
PSA,22,1,"„Досьвітна"
PSA,22,1,"ланя‟;"
PSA,56,1,"„Голубка"
PSA,56,1,"дубравин‟;"
PSA,57,1,"„Не"
PSA,57,1,"пропадеш.‟"
PSA,58,1,"„Не"
PSA,58,1,"пропадеш!‟"
PSA,59,1,"„Не"
PSA,59,1,"пропадеш!‟"
PSA,75,1,"„Не"
PSA,75,1,"запропасти‟;"
PSA,132,3,"„Не"
PSA,132,5,"Якова!‟"
PSA,137,3,"„Нуте,"
PSA,137,3,"Сионських!‟"
PRO,20,22,"„За"
PRO,20,22,"віддам‟;"
PRO,22,13,"„Он"
PRO,22,13,"мене!‟"
PRO,23,7,"„Іж"
PRO,23,7,"пий!‟"
PRO,24,24,"„Ти"
PRO,24,24,"невинен‟,"
PRO,25,7,"„Ходи"
PRO,25,7,"висше‟,"
PRO,26,13,"„Лев"
PRO,26,13,"царині!‟"
PRO,26,19,"„Я"
PRO,26,19,"жартував!‟"
PRO,28,24,"„се"
PRO,28,24,"гріх‟,"
PRO,30,15,"„давай,"
PRO,30,15,"давай!‟"
ECC,12,1,"„Не"
ECC,12,1,"мені‟,"
ISA,8,1,"„Квапся"
ISA,8,1,"користь.‟"
ISA,8,3,"„квапся"
ISA,8,3,"користь‟;"
ISA,8,4,"„тату"
ISA,8,4,"мамо‟,"
ISA,8,12,"„Змова‟!"
ISA,24,16,"„Слава"
ISA,24,16,"Праведному!‟"
ISA,24,16,"„Нуждо"
ISA,24,16,"лиходїйськи.‟"
ISA,28,9,"„Кого"
ISA,28,10,"багато.‟"
ISA,28,12,"„Оце"
ISA,28,12,"потїха‟"
ISA,28,15,"„Ми"
ISA,28,15,"надїйний.‟"
ISA,29,11,"„прочитай"
ISA,29,11,"її‟;"
ISA,29,11,"„не"
ISA,29,11,"запечатана‟;"
ISA,29,12,"„прочитай"
ISA,29,12,"її‟;"
ISA,29,12,"„я"
ISA,29,12,"вмію‟."
ISA,30,10,"„Нічого"
ISA,30,10,"бачте!‟"
ISA,30,10,"„Не"
ISA,30,11,"Ізрайлевого!‟"
ISA,30,16,"„Ні,"
ISA,30,16,"утечемо‟,"
ISA,30,16,"„ми"
ISA,30,16,"побіжимо‟,"
ISA,33,24,"„я"
ISA,33,24,"здужаю‟,"
ISA,57,10,"„пуста"
ISA,57,10,"надїя!‟"
ISA,58,3,"„Чом"
ISA,58,3,"знаєш?‟"
JER,2,27,"„Устань,"
JER,2,27,"нас!‟"
JER,2,35,"„невинна"
JER,2,35,"мене‟."
JER,2,35,"„Я"
JER,2,35,"согрішила.‟"
JER,3,16,"„скриня"
JER,3,16,"Господнього‟;"
JER,4,2,"„Так"
JER,4,2,"Господь!‟"
JER,4,10,"„Мир"
JER,4,10,"вас‟;"
JER,4,31,"„Ой"
JER,4,31,"убийцями!‟"
JER,5,2,"„Як"
JER,5,2,"Господь!‟"
JER,5,12,"„Нема"
JER,5,13,"станеться.‟"
JER,6,14,"„Спасеннє!‟"
JER,7,4,"„Храм"
JER,7,4,"Господень!‟"
JER,7,10,"„Ми"
JER,7,10,"спасені,‟"
JER,8,6,"„Що"
JER,8,6,"вкоів?‟"
JER,8,11,"„Спасеннє,"
JER,8,11,"мир!‟"
JER,12,16,"„Так"
JER,12,16,"Господь‟,"
JER,13,22,"„За"
JER,13,22,"судилось?‟"
JER,18,18,"„Нумо,"
JER,18,18,"його.‟"
JER,20,10,"„Викажіть!"
JER,20,10,"його!‟"
JER,23,35,"„Що"
JER,23,35,"Господь?‟"
JER,23,35,"„Що"
JER,23,35,"Господь?‟"
JER,23,36,"„вагота"
JER,23,36,"Господня‟"
JER,23,38,"„вагота"
JER,23,38,"Господа‟,"
JER,33,16,"„Господь"
JER,33,16,"наше!‟"
JER,46,17,"„трівога‟,"
EZK,25,3,"„Ага‟!"
HOS,2,16,"„чоловіче"
HOS,2,16,"мій,‟"
HOS,2,16,"„Баале‟"
MRK,12,36,"„Рече"
MRK,12,36,"твоїх.‟"
1CO,14,16,"„амінь‟"
2CO,1,18,"„так‟"
2CO,1,18,"„ні‟."
2CO,1,19,"„так‟"
2CO,1,19,"„ні‟,"
2CO,1,19,"„так‟."
2CO,1,20,"„так‟"
2CO,1,20,"„амінь‟,"
1TH,5,3,"„Упокій"
1TH,5,3,"безпечність‟,"
HEB,3,15,"„Сьогодні,"
HEB,3,15,"прогніванню.‟"
HEB,4,3,"„Так"
HEB,4,3,"мій,‟"
HEB,4,4,"„І"
HEB,4,4,"своїх.‟"
HEB,4,5,"„Чи"
HEB,4,5,"мій.‟"
HEB,4,7,"„сьогодні‟"
HEB,4,7,"„Сьогодні,"
HEB,4,7,"ваших.‟"
HEB,5,5,"„Син"
HEB,5,5,"Тебе.‟"
HEB,5,6,"„Ти"
HEB,5,6,"Мелхиседековому.‟"
HEB,6,14,"„Істинно"
HEB,6,14,"тебе.‟"
HEB,7,17,"„Що"
HEB,7,17,"Мелхиседековому.‟"
HEB,7,21,"„Кляв"
HEB,7,21,"Мелхиседековому‟)"
HEB,8,5,"„Гледи"
HEB,8,5,"бо‟,"
HEB,8,5,"„зроби"
HEB,8,5,"горі.‟"
HEB,8,8,"„Ось"
HEB,8,12,"більше.‟"
HEB,8,13,"„новий‟,"
HEB,9,20,"„Се"
HEB,9,20,"Бог.‟"
HEB,10,5,"„Жертви"
HEB,10,7,"Боже.‟"
HEB,10,8,"„Що"
HEB,10,8,"єси,‟"
HEB,10,9,"„Ось,"
HEB,10,9,"Боже.‟"
HEB,10,16,"„Се"
HEB,10,16,"днів‟,"
HEB,10,16,"„Давши"
HEB,10,17,"вже.‟"
HEB,10,30,"„Мені"
HEB,10,30,"Господь‟;"
HEB,10,30,"„Господь"
HEB,10,30,"своїх.‟"
HEB,10,38,"„А"
HEB,10,38,"буде,‟"
HEB,10,38,"„Коли"
HEB,10,38,"його.‟"
HEB,11,5,"„не"
HEB,11,5,"Бог‟:"
HEB,11,5,"„що"
HEB,11,5,"Богу.‟"
HEB,11,18,"„Що"
HEB,11,18,"насїннє,‟"
HEB,11,21,"„склонивсь"
HEB,11,21,"свого‟."
HEB,12,5,"„Сину"
HEB,12,6,"приймає.‟"
HEB,12,12,"„зомлілі"
HEB,12,12,"випростайте‟,"
HEB,12,13,"„стежки"
HEB,12,13,"вашими‟,"
HEB,12,20,"„Хоч"
HEB,12,20,"пробитий.‟"
HEB,12,21,"„Я"
HEB,12,21,"трепетї.‟)"
HEB,12,26,"„Ще"
HEB,12,26,"небом.‟"
HEB,12,27,"„ще"
HEB,12,27,"раз‟"
HEB,13,5,"„Не"
HEB,13,5,"тебе.‟"
HEB,13,6,"„Господь"
HEB,13,6,"чоловік?‟"
HEB,13,15,"„овощ"
HEB,13,15,"уст‟,"
JAS,2,8,"„Люби"
JAS,2,8,"самого‟,"
JAS,2,11,"„Не"
JAS,2,11,"перелюбу,‟"
JAS,2,11,"„Не"
JAS,2,11,"вбивай.‟"
JAS,2,23,"„Увірував"
JAS,2,23,"його.‟"
JAS,4,5,"„До"
JAS,4,5,"нас?‟"
JAS,4,6,"„Господь"
JAS,4,6,"благодать.‟"
1PE,1,16,"„Будьте"
1PE,1,16,"сьвят.‟"
1PE,1,24,"„всяке"
1PE,1,25,"вік.‟"
1PE,2,6,"„Ось,"
1PE,2,6,"ся.‟"
1PE,2,7,"„камінь,"
1PE,2,7,"поблазні‟;"
1PE,2,24,"„ранами"
1PE,2,24,"сцїлились‟."
1PE,3,10,"„Хто"
1PE,3,12,"роблять.‟"
1PE,4,18,"„праведник"
1PE,4,18,"ся?‟"
1PE,5,5,"„Бог"
1PE,5,5,"благодать.‟"
2PE,1,17,"„Се"
2PE,1,17,"Його.‟"
2PE,2,22,"„Пес"
2PE,2,22,"блювотини‟,"
2PE,2,22,"„свиня,"
2PE,2,22,"калюжу‟."
JUD,1,14,"„Ось,"
JUD,1,15,"безбожні.‟"
