Book,Chapter,Verse,Content
MAT,3,15,"Допусти тепер, бо так годить ся нам чинити всяку правду."
MAT,4,4,"Писано: Не самим хлібом жити ме чоловік, а кожним словом, що виходить із уст Божих."
MAT,4,7,"Писано знов: Не спокушуй Господа Бога твого."
MAT,4,10,"Геть від мене, сатано! писано бо: Господу Богу твоєму кланяти меш ся, і Йому одному служити меш."
MAT,4,17,"Покайтесь, наближилось бо царство небесне."
MAT,4,19,"Ідіть за мною, то зроблю вас ловцями людськими."
MAT,5,3,"Блаженні вбогі духом, бо їх царство небесне."
MAT,5,4,"Блаженні сумні, бо такі втішять ся."
MAT,5,5,"Блаженні тихі, бо такі осягнуть землю."
MAT,5,6,"Блаженні голодні й жадні правди, бо такі наситять ся."
MAT,5,7,"Блаженні милостиві, бо такі будуть помилувані."
MAT,5,8,"Блаженні чисті серцем, бо такі побачять Бога."
MAT,5,9,"Блаженні миротворці, бо такі синами Божими звати муть ся."
MAT,5,10,"Блаженні, кого гонять за правду, бо їх царство небесне."
MAT,5,11,"Блаженні ви, коли вас безчестити муть, та гонити муть, та казати муть на вас усяке лихе слово не по правді, ради мене."
MAT,5,12,"Радуйтесь і веселітесь: бо велика нагорода ваша на небі; так бо гонили й пророків, що бували перше вас."
MAT,5,13,"Ви сіль землі; коли ж сіль звітріє, то чим солити? Ні-на-що не годить ся тоді вона, тільки щоб викинути геть і щоб топтали її люде."
MAT,5,14,"Ви сьвітло сьвіту. Не може город сховати ся, стоячи на горі;"
MAT,5,15,"і, засьвітивши сьвічку, не ставлять під посудину, а на сьвічнику; то й сьвітить вона всім, хто в хаті,"
MAT,5,16,"так нехай сяє сьвітло ваше перед людьми, щоб вони бачили ваші добрі діла, й прославляли Отця вашого, що на небі."
MAT,5,17,"Не думайте, що я прийшов знівечити закон або пророків; не прийшов я знівечити, а сповнити."
MAT,5,18,"Істино бо глаголю вам: Доки перейде небо й земля, одна йота, або одна титла не перейде з закону, аж поки все станеть ся."
MAT,5,19,"Тим, хто поламле одну найменшу з сих заповідей і навчить так людей, той звати меть ся найменшим у царстві небесному; а хто сповнить і навчить, той звати меть ся великим у царстві небесному."
MAT,5,20,"Глаголю бо вам: Що коли ваша правда не переважить письменників та Фарисеїв, то не ввійдете в царство небесне."
MAT,5,21,"Чували ви, що сказано старосьвіцьким: Не вбий, а хто вбє, на того буде суд."
MAT,5,22,"Я ж вам глаголю: Хто сердить ся на брата свого без причини, на того буде суд; а хто скаже на брата свого: Рака, на того буде громадський суд; хто ж скаже: дурню, на того буде огонь пекольний."
MAT,5,23,"Тим, коли принесеш дар свій до жертівні, й згадаєш там, що твій брат має що проти тебе;"
MAT,5,24,"зостав свій дар перед жертівнею, і йди геть, помирись перш із братом твоїм, а тоді прийди й подай дар твій."
MAT,5,25,"Мирись із твоїм противником хутко, доки ти ще в дорозї з ним, щоб не віддав тебе противник судді, а суддя не віддав тебе осавулі (слузї), і не вкинуто тебе в темницю."
MAT,5,26,"Істино глаголю тобі: Не вийдеш звідтіля, доки не віддаси й останнього шеляга."
MAT,5,27,"Чували ви, що сказано старосьвіцьким: Не чини перелюбу."
MAT,5,28,"Я ж вам глаголю: Хто спогляне на жінку жадібним оком, той уже вчинив перелюб із нею в серці своїм."
MAT,5,29,"Коли ж око твоє праве блазнить тебе, вирви його, й кинь від себе; бо більша користь тобі, щоб один із членів твоїх згинув, а не все тіло вкинуто в пекло."
MAT,5,30,"І коли права рука твоя блазнить тебе, відотни її, й кинь від себе; більша бо користь тобі, щоб один із членів твоїх згинув, а не все тіло твоє вкинуто в пекло."
MAT,5,31,"Сказано ж: Що хто розводить ся з жінкою своєю, нехай дасть їй розвідний лист."
MAT,5,32,"Я ж вам глаголю: Що хто розведеть ся з жінкою своєю, хиба що за перелюб, доводить її до перелюбу; й хто оженить ся з розвідкою, чинить перелюб."
MAT,5,33,"Знов чували, що сказано старосьвіцьким: Не кленись криво, а сповняй перед Господом обітниці твої."
MAT,5,34,"Я ж вам глаголю: Не кляніть ся зовсім: ні небом, бо воно престол Божий;"
MAT,5,35,"ні землею, бо вона підніжок ніг Його; ні Єрусалимом, бо се город великого царя;"
MAT,5,36,"ні головою твоєю не клянись, бо не зможеш зробити ні одного волоса білим або чорним."
MAT,5,37,"Слово ж ваше нехай буде: так, так; ні, ні; бо що більш над се, те від лихого."
MAT,5,38,"Чували ви, що сказано: Око за око, й зуб за зуб."
MAT,5,39,"Я ж вам глаголю: Не противтесь лихому, а хто вдарить тебе у праву щоку твою, повернись до него й другою."
MAT,5,40,"І хто схоче судитись із тобою і зняти з тебе свиту, віддай йому й жупанок."
MAT,5,41,"І хто силувати ме тебе йти милю, йди з ним дві."
MAT,5,42,"Дай, хто в тебе просить, і хто хоче в тебе позичити, не одвертайсь від него."
MAT,5,43,"Чували ви, що сказано: Люби ближнього твого, й ненавидь ворога твого."
MAT,5,44,"Я ж вам глаголю: Любіть ворогів ваших, благословляйте, хто клене вас, робіть добро, хто ненавидить вас, і моліть ся за тих, що обижають вас і гонять вас;"
MAT,5,45,"щоб вам бути синами Отця вашого, що на небі; Він бо велить сонцю своєму сходити над лихими й над добрими, й посилає дощ на праведних і неправедних."
MAT,5,46,"Бо коли ви любите тих, що люблять вас, то за що вам нагорода? хиба й митники не те саме роблять?"
MAT,5,47,"І коли витаєте тільки братів ваших, то що надто робите? хиба й митники не так роблять?"
MAT,5,48,"Оце ж бувайте звершені, як Отець ваш, що на небі, звершений."
MAT,6,1,"Остерегайтесь подавати милостиню вашу перед людьми, щоб вони вас бачили; а то не мати мете ніякої нагороди від Отця вашого, що на небі."
MAT,6,2,"Тим, коли подаєш милостиню, то не труби в трубу перед собою, як роблять лицеміри по школах та по улицях, щоб здобути слави в людей. Істино глаголю вам: Мають вони нагороду собі."
MAT,6,3,"Ти ж, як подаєш милостиню, то нехай ліва рука твоя не знає, що робить права:"
MAT,6,4,"щоб твоя милостиня була потайна; а Отець твій, що бачить потайне, віддасть тобі прилюдно."
