Book,Chapter,Verse,Content
1 Мойсея,4,16,"ʼд"
1 Мойсея,10,29,"ʼці"
1 Мойсея,11,3,"ʼдному:"
1 Мойсея,11,7,"ʼдного."
1 Мойсея,17,21,"ʼцїй"
1 Мойсея,24,28,"зʼясувала"
1 Мойсея,28,15,"ʼцю"
1 Мойсея,28,20,"ʼце"
1 Мойсея,41,24,"зʼясувати."
2 Мойсея,10,23,"ʼдного,"
2 Мойсея,32,13,"ʼцю"
2 Мойсея,36,6,"зʼясували"
3 Мойсея,7,20,"зʼїла"
3 Мойсея,8,31,"зʼїжте"
3 Мойсея,14,44,"вʼїдлива"
3 Мойсея,17,14,"зʼїсть"
3 Мойсея,19,5,"зʼєднати"
3 Мойсея,22,14,"зʼість"
3 Мойсея,22,30,"зʼїсти"
3 Мойсея,25,25,"зʼубожіє"
3 Мойсея,25,39,"зʼубожіє"
3 Мойсея,25,47,"зʼубожіє"
3 Мойсея,26,32,"зʼжахнуться,"
4 Мойсея,11,33,"зʼїли"
4 Мойсея,14,44,"зʼосьмілились"
4 Мойсея,30,14,"зʼобовязання"
5 Мойсея,4,22,"ʼцїй"
5 Мойсея,13,1,"зʼявиться"
5 Мойсея,22,5,"зʼодягається"
5 Мойсея,28,2,"ʼцї"
5 Мойсея,28,15,"ʼцї"
5 Мойсея,28,42,"позʼїдає."
5 Мойсея,28,45,"ʼцї"
5 Мойсея,28,57,"зʼїсть"
5 Мойсея,29,20,"ʼцїй"
5 Мойсея,29,27,"ʼсїй"
Иозея,2,18,"вʼцю"
Иозея,2,20,"ʼцїй"
Иозея,3,4,"ʼцїй"
Иозея,15,5,"вʼустя"
Иозея,16,1,"ʼд"
Иозея,18,12,"ʼд"
Суддїв,2,1,"зʼявивсь"
Суддїв,5,11,"ʼд"
Суддїв,9,47,"Зʼясовано"
Суддїв,13,11,"ʼд"
Суддїв,13,20,"ʼд"
Суддїв,18,2,"зʼугадних"
Суддїв,18,17,"вʼоруженими,"
Суддїв,19,9,"ʼд"
Суддїв,20,17,"вʼоружених"
Суддїв,20,25,"вʼоружених"
Суддїв,20,35,"вʼоружених"
Суддїв,20,45,"ʼд"
Суддїв,21,11,"зʼорудуйте:"
Рути,2,15,"зʼобижайте"
1 Самуїлова,6,9,"ʼд"
1 Самуїлова,10,8,"зʼясую"
1 Самуїлова,11,5,"зʼясували"
1 Самуїлова,12,4,"зʼобиджав"
1 Самуїлова,14,9,"зʼупинїмось"
1 Самуїлова,17,48,"ʼк"
1 Самуїлова,18,11,"Давидаʼд"
1 Самуїлова,19,7,"ʼцю"
1 Самуїлова,22,8,"зʼясував"
1 Самуїлова,24,2,"зʼясовано"
1 Самуїлова,25,26,"зʼупинив"
1 Самуїлова,26,8,"ʼд"
1 Самуїлова,28,2,"зʼуміє"
1 Самуїлова,28,10,"ʼцїй"
1 Самуїлова,30,12,"зʼїсти,"
1 Самуїлова,30,15,"ʼцю"
1 Самуїлова,30,24,"ʼцїй"
2 Самуїлова,11,18,"зʼясував"
2 Самуїлова,11,22,"зʼясував"
2 Самуїлова,13,6,"іззʼїсти!"
2 Самуїлова,13,34,"зʼясував"
2 Самуїлова,18,11,"ʼд"
2 Самуїлова,19,42,"зʼїли"
1 Царів,2,29,"зʼясовано"
1 Царів,2,41,"зʼясовано"
1 Царів,8,22,"ʼд"
1 Царів,8,27,"ʼбіймуть,"
1 Царів,13,4,"ʼд"
1 Царів,13,6,"ʼд"
1 Царів,16,21,"ʼд"
1 Царів,21,12,"Зʼясували"
1 Царів,22,27,"зʼясїть:"
2 Царів,3,7,"зʼясити:"
2 Царів,4,31,"зʼясував:"
2 Царів,5,18,"ʼк"
2 Царів,6,28,"зʼїли"
2 Царів,6,28,"зʼїмо"
2 Царів,6,29,"зʼїсти,"
2 Царів,7,9,"зʼясуймо"
2 Царів,10,3,"зʼугадлившого,"
1 Паралипоменон,4,42,"ʼд"
1 Паралипоменон,5,18,"зʼучені"
1 Паралипоменон,11,15,"ʼд"
2 Паралипоменон,3,14,"зʼобразив"
2 Паралипоменон,4,4,"ʼд"
2 Паралипоменон,4,4,"ʼд"
2 Паралипоменон,6,38,"ʼд"
2 Паралипоменон,6,41,"зʼодягнуться"
2 Паралипоменон,7,12,"зʼявився"
2 Паралипоменон,14,5,"зʼображеня"
2 Паралипоменон,20,24,"ʼк"
2 Паралипоменон,28,15,"зʼодягли"
2 Паралипоменон,29,16,"ʼд"
Неємії,4,21,"зʼявлялись"
Йова,9,3,"зʼумів"
Йова,9,4,"зʼупокоєн?"
Йова,10,11,"зʼодяг"
Йова,12,7,"зʼясує"
Йова,18,13,"Зʼїсть"
Йова,18,13,"зʼїсть"
Йова,19,6,"ʼд"
Йова,30,13,"зʼуміли"
Йова,30,23,"ʼд"
Йова,31,17,"зʼїдав"
Йова,32,16,"зʼупинились"
Йова,33,22,"ʼд"
Йова,37,4,"зʼупиняє"
Йова,38,35,"ʼд"
Йова,40,4,"зʼумієш"
Йова,42,2,"зʼупинити."
Псалтирь,94,20,"зʼєднатись"
Псалтирь,106,40,"зʼогидїло"
Псалтирь,141,7,"зʼорана"
Приповісток,4,9,"зʼукрасить"
Приповісток,21,24,"безʼумом"
Приповісток,23,8,"зʼїв,"
Приповісток,23,21,"зʼубожіють,"
Приповісток,27,16,"зʼупинити"
КНИГА ЕККЛЕЗІАСТА,1,6,"ʼд"
КНИГА ЕККЛЕЗІАСТА,2,12,"безʼум;"
КНИГА ЕККЛЕЗІАСТА,11,3,"ʼк"
КНИГА ЕККЛЕЗІАСТА,11,3,"ʼк"
ПІСНЯ ПІСЕНЬ,1,3,"ʼд"
ПІСНЯ ПІСЕНЬ,1,6,"Зʼясуй"
ПІСНЯ ПІСЕНЬ,3,8,"зʼучені"
ПІСНЯ ПІСЕНЬ,5,1,"зʼїв"
