Book,Chapter,Verse,Content
1 Мойсея,16,14,"„Криницею"
1 Мойсея,16,14,"бачить.‟"
2 Мойсея,22,9,"„Ось"
2 Мойсея,22,9,"воно‟,"
2 Мойсея,34,5,"„Господь‟."
Иозея,22,34,"„Ед‟,"
2 Самуїлова,5,8,"„Слїпий"
2 Самуїлова,5,8,"палату.‟"
2 Самуїлова,6,8,"„Убиттє"
2 Самуїлова,6,8,"Ози‟"
2 Самуїлова,18,18,"„Рука"
2 Самуїлова,18,18,"Абессаломова‟."
Ездри,3,11,"„Хвалїть‟"
Ездри,3,11,"„Оповідайте"
Ездри,3,11,"Ізраїля‟;"
Ездри,4,17,"„Мир‟"
Псалтирь,22,1,"„Досьвітна"
Псалтирь,22,1,"ланя‟;"
Псалтирь,56,1,"„Голубка"
Псалтирь,56,1,"дубравин‟;"
Псалтирь,57,1,"„Не"
Псалтирь,57,1,"пропадеш.‟"
Псалтирь,58,1,"„Не"
Псалтирь,58,1,"пропадеш!‟"
Псалтирь,59,1,"„Не"
Псалтирь,59,1,"пропадеш!‟"
Псалтирь,75,1,"„Не"
Псалтирь,75,1,"запропасти‟;"
Псалтирь,132,3,"„Не"
Псалтирь,132,5,"Якова!‟"
Псалтирь,137,3,"„Нуте,"
Псалтирь,137,3,"Сионських!‟"
Приповісток,20,22,"„За"
Приповісток,20,22,"віддам‟;"
Приповісток,22,13,"„Он"
Приповісток,22,13,"мене!‟"
Приповісток,23,7,"„Іж"
Приповісток,23,7,"пий!‟"
Приповісток,24,24,"„Ти"
Приповісток,24,24,"невинен‟,"
Приповісток,25,7,"„Ходи"
Приповісток,25,7,"висше‟,"
Приповісток,26,13,"„Лев"
Приповісток,26,13,"царинї!‟"
Приповісток,26,19,"„Я"
Приповісток,26,19,"жартував!‟"
Приповісток,28,24,"„се"
Приповісток,28,24,"гріх‟,"
Приповісток,30,15,"„давай,"
Приповісток,30,15,"давай!‟"
КНИГА ЕККЛЕЗІАСТА,12,1,"„Не"
КНИГА ЕККЛЕЗІАСТА,12,1,"менї‟,"
Ісаїї,8,1,"„Квапся"
Ісаїї,8,1,"користь.‟"
Ісаїї,8,3,"„квапся"
Ісаїї,8,3,"користь‟;"
Ісаїї,8,4,"„тату"
Ісаїї,8,4,"мамо‟,"
Ісаїї,8,12,"„Змова‟!"
Ісаїї,24,16,"„Слава"
Ісаїї,24,16,"Праведному!‟"
Ісаїї,24,16,"„Нуждо"
Ісаїї,24,16,"лиходїйськи.‟"
Ісаїї,28,9,"„Кого"
Ісаїї,28,10,"багато.‟"
Ісаїї,28,12,"„Оце"
Ісаїї,28,12,"потїха‟"
Ісаїї,28,15,"„Ми"
Ісаїї,28,15,"надїйний.‟"
Ісаїї,29,11,"„прочитай"
Ісаїї,29,11,"її‟;"
Ісаїї,29,11,"„не"
Ісаїї,29,11,"запечатана‟;"
Ісаїї,29,12,"„прочитай"
Ісаїї,29,12,"її‟;"
Ісаїї,29,12,"„я"
Ісаїї,29,12,"вмію‟."
Ісаїї,30,10,"„Нїчого"
Ісаїї,30,10,"бачте!‟"
Ісаїї,30,10,"„Не"
Ісаїї,30,11,"Ізрайлевого!‟"
Ісаїї,30,16,"„Нї,"
Ісаїї,30,16,"утечемо‟,"
Ісаїї,30,16,"„ми"
Ісаїї,30,16,"побіжимо‟,"
Ісаїї,33,24,"„я"
Ісаїї,33,24,"здужаю‟,"
Ісаїї,57,10,"„пуста"
Ісаїї,57,10,"надїя!‟"
Ісаїї,58,3,"„Чом"
Ісаїї,58,3,"знаєш?‟"
Еремії,2,27,"„Устань,"
Еремії,2,27,"нас!‟"
Еремії,2,35,"„невинна"
Еремії,2,35,"мене‟."
Еремії,2,35,"„Я"
Еремії,2,35,"согрішила.‟"
Еремії,3,16,"„скриня"
Еремії,3,16,"Господнього‟;"
Еремії,4,2,"„Так"
Еремії,4,2,"Господь!‟"
Еремії,4,10,"„Мир"
Еремії,4,10,"вас‟;"
Еремії,4,31,"„Ой"
Еремії,4,31,"убийцями!‟"
Еремії,5,2,"„Як"
Еремії,5,2,"Господь!‟"
Еремії,5,12,"„Нема"
Еремії,5,13,"станеться.‟"
Еремії,6,14,"„Спасеннє!‟"
Еремії,7,4,"„Храм"
Еремії,7,4,"Господень!‟"
Еремії,7,10,"„Ми"
Еремії,7,10,"спасені,‟"
Еремії,8,6,"„Що"
Еремії,8,6,"вкоів?‟"
Еремії,8,11,"„Спасеннє,"
Еремії,8,11,"мир!‟"
Еремії,12,16,"„Так"
Еремії,12,16,"Господь‟,"
Еремії,13,22,"„За"
Еремії,13,22,"судилось?‟"
Еремії,18,18,"„Нумо,"
Еремії,18,18,"його.‟"
Еремії,20,10,"„Викажіть!"
Еремії,20,10,"його!‟"
Еремії,23,35,"„Що"
Еремії,23,35,"Господь?‟"
Еремії,23,35,"„Що"
Еремії,23,35,"Господь?‟"
Еремії,23,36,"„вагота"
Еремії,23,36,"Господня‟"
Еремії,23,38,"„вагота"
Еремії,23,38,"Господа‟,"
Еремії,33,16,"„Господь"
Еремії,33,16,"наше!‟"
Еремії,46,17,"„трівога‟,"
Езекиїла,25,3,"„Ага‟!"
Осії,2,16,"„чоловіче"
Осії,2,16,"мій,‟"
Осії,2,16,"„Баале‟"
Марка,12,36,"„Рече"
Марка,12,36,"твоїх.‟"
1 Коринтян,14,16,"„амінь‟"
2 Коринтян,1,18,"„так‟"
2 Коринтян,1,18,"„нї‟."
2 Коринтян,1,19,"„так‟"
